# SAMPLE — FICTIONAL DATA. Every project, QALICB, address and figure below is
# invented. Do NOT submit these rows as your own pipeline. Start from
# pipeline_template.csv (or pipeline_template.xlsx), which is blank.
project_id,project_name,qalicb_name,address,city,state,sector,project_type,total_project_cost,qei_request,qlici_amount,expected_jobs_created,expected_jobs_retained,expected_units_built,expected_sq_ft,closing_target_date,native_area,high_migration_rural,us_territory,persistent_poverty,below_market_rate,unrelated_entity,opportunity_zone,urban_rural,census_tract,minority_owned,women_owned,notes
PRJ-S001,Southside Community Health Center,Southside HC QALICB LLC,3400 S Michigan Ave,Chicago,IL,healthcare,real_estate,12500000,8500000,8500000,52,18,,24000,2025-09-30,N,N,N,Y,Y,Y,N,urban,17031838200,N,N,
PRJ-S002,East Houston Charter Academy,East Houston Academy QALICB LLC,5200 Lawndale St,Houston,TX,education,real_estate,9800000,7000000,7000000,38,22,,,2025-12-15,N,N,N,Y,Y,Y,Y,urban,48201223400,N,N,
PRJ-S003,Bronx Food Hub,Bronx Food Hub QALICB LLC,800 Hunts Point Ave,Bronx,NY,small_business,real_estate,7200000,5000000,5000000,65,8,,18000,2025-08-31,N,N,N,N,Y,Y,Y,urban,36005035900,N,N,
PRJ-S004,Watts Manufacturing Center,Watts MFG QALICB LLC,9500 S Grape St,Los Angeles,CA,small_business,operating_business,6000000,4500000,4500000,80,25,,,2025-11-30,N,N,N,N,Y,Y,N,urban,06037606200,N,N,
PRJ-S005,Cleveland Neighborhood Clinic,Cleveland Neighborhood HC QALICB LLC,2100 Euclid Ave,Cleveland,OH,healthcare,real_estate,10000000,7500000,7500000,42,30,,20000,2026-01-31,N,N,N,Y,Y,Y,N,urban,39035103200,N,N,
PRJ-S006,Atlanta Affordable Homes Phase II,Atlanta AH QALICB LLC,640 McDaniel St SW,Atlanta,GA,affordable_housing,real_estate,14000000,9000000,9000000,15,5,72,,2025-10-31,N,N,N,N,Y,Y,Y,urban,13121008700,N,N,
PRJ-S007,North Philadelphia Wellness Hub,North Philly Wellness QALICB LLC,2500 N Broad St,Philadelphia,PA,healthcare,mixed_use,11000000,8000000,8000000,55,20,,22000,2026-03-31,N,N,N,Y,Y,Y,N,urban,42101017900,N,N,
PRJ-S008,New Orleans Culinary Arts Center,NOLA Culinary QALICB LLC,1800 Oretha Castle Haley Blvd,New Orleans,LA,education,real_estate,8200000,6000000,6000000,35,8,,16000,2025-11-15,N,N,N,Y,Y,Y,Y,urban,22071008500,N,N,
PRJ-S009,Memphis Small Business Incubator,Memphis SBI QALICB LLC,400 Monroe Ave,Memphis,TN,small_business,operating_business,4800000,3500000,3500000,90,15,,,2025-08-15,N,N,N,Y,Y,Y,N,urban,47157002400,N,N,
PRJ-S010,Charlotte Workforce Training Center,Charlotte WTC QALICB LLC,2810 Freedom Dr,Charlotte,NC,education,real_estate,7500000,5500000,5500000,30,12,,14000,2025-12-31,N,N,N,N,Y,Y,N,urban,37119004200,N,N,
PRJ-S011,Phoenix Native American Health Clinic,Phoenix Native HC QALICB LLC,4212 W Indian School Rd,Phoenix,AZ,healthcare,real_estate,9000000,6500000,6500000,48,25,,18500,2026-01-15,Y,N,N,Y,Y,Y,N,urban,04013118400,N,N,NMTC Native Area
PRJ-S012,Detroit Auto Parts Manufacturer,Detroit Auto Parts QALICB LLC,7800 E Jefferson Ave,Detroit,MI,small_business,operating_business,6500000,5000000,5000000,110,45,,,2025-09-30,N,N,N,Y,Y,Y,Y,urban,26163527900,N,N,
PRJ-S013,Indianapolis Mixed-Use Community Hub,Indy Community Hub QALICB LLC,1200 N Alabama St,Indianapolis,IN,mixed_use,mixed_use,10500000,7500000,7500000,35,10,24,20000,2026-03-15,N,N,N,N,Y,Y,N,urban,18097350200,N,N,
PRJ-S014,Milwaukee Affordable Apartments,MKE Affordable QALICB LLC,1900 W National Ave,Milwaukee,WI,affordable_housing,real_estate,13500000,9500000,9500000,12,4,64,,2026-02-28,N,N,N,N,Y,Y,N,urban,55079141700,N,N,
PRJ-S015,St. Louis Community Solar Project,STL Solar QALICB LLC,3600 Market St,St. Louis,MO,clean_energy,operating_business,5000000,3800000,3800000,22,6,,,2025-10-15,N,N,N,N,Y,Y,Y,urban,29510109500,N,N,
PRJ-S016,Rural Mississippi Health Access Center,Rural MS Health QALICB LLC,510 Main St,Greenville,MS,healthcare,real_estate,4200000,3200000,3200000,20,15,,8000,2025-11-30,N,Y,N,Y,Y,Y,N,rural,28065950100,N,N,High Migration Rural + Persistent Poverty
PRJ-S017,Kansas City Affordable Senior Housing,KC Senior Housing QALICB LLC,3500 Troost Ave,Kansas City,MO,affordable_housing,real_estate,11800000,8500000,8500000,10,3,56,,2026-02-15,N,N,N,N,Y,Y,N,urban,29095017800,N,N,
PRJ-S018,Baltimore Community Food Market,Baltimore Food QALICB LLC,2700 Pennsylvania Ave,Baltimore,MD,community_facility,real_estate,5800000,4200000,4200000,45,8,,11000,2025-10-31,N,N,N,N,Y,Y,N,urban,24510050200,N,N,
PRJ-S019,Albuquerque Mixed-Use Arts District,ABQ Arts QALICB LLC,400 Central Ave NE,Albuquerque,NM,mixed_use,mixed_use,7800000,5800000,5800000,32,9,18,15000,2025-12-15,Y,N,N,Y,Y,Y,Y,urban,35001000900,N,N,NMTC Native Area + Persistent Poverty
PRJ-S020,Tampa Bay Healthcare Collaborative,Tampa HC QALICB LLC,1801 N Howard Ave,Tampa,FL,healthcare,real_estate,8900000,6200000,6200000,44,18,,19000,2026-01-20,N,N,N,N,Y,Y,N,urban,12057068406,N,N,
